catalogNumber,stateProvince,county,municipality,decimalLongitude,decimalLatitude,recordedBy,datasetName
111018,Minas Gerais,NA,Jaboticatubas,-43.583333,-19.166667,"Smith, L.B. 6881; Segadas-Vianna, F.; Egler, W.A.; Dau, L.; Lopes da Silva, Z.; Ormond, W.T. & Machline, G.C.",R - Herbário do Museu Nacional
111017,Minas Gerais,NA,Jaboticatubas,-43.95,-19.666667,"Smith, L.B. 7036; Segadas-Vianna, F.; Egler, W.A.; Dau, L.; Lopes da Silva, Z.; Ormond, W.T. & Machline, G.C.",R - Herbário do Museu Nacional
234492,Minas Gerais,NA,Buenópolis,-44.250833,-17.918056,"Pangaio, L. 1119; Pereira, M.C.A. & Souza, K.",R - Herbário do Museu Nacional
234493,Minas Gerais,NA,Buenópolis,-44.333333,-17.887222,"Pangaio, L. 1110; Pereira, M.C.A. & Souza, K.",R - Herbário do Museu Nacional
45695,Bahia,NA,Itatim,-39.7,-12.716667,"França, F.; et alii",FLOR - Herbário do Departamento de Botânica da Universidade Federal de Santa Catarina
191653,Minas Gerais,NA,Santo Antônio do Itambé,-43.339444,-18.456944,"Souza, JAM; Paiva, JAM; Silva, SHA",BHCB - Herbário da Universidade Federal de Minas Gerais
873379,Minas Gerais,NA,NA,-43.4,-18.87,H. S. Irwin,Vascular plants
873378,Minas Gerais,NA,NA,-43.4,-18.87,H. S. Irwin,Vascular plants
873376,Minas Gerais,NA,NA,-43.57,-18.55,H. S. Irwin,Vascular plants
873380,Minas Gerais,Diamantina,NA,-43.561111,-18.17235,H. S. Irwin,Vascular plants
873377,Minas Gerais,NA,NA,-43.57,-18.55,H. S. Irwin,Vascular plants
38667,Minas Gerais,NA,Buenópolis,-44,-17,"Guarçoni, E.",VIC - Herbário da Universidade Federal de Viçosa
240470,Bahia,NA,Milagres,-39.85,-12.883333,Equipe Projeto Abelhas.,HUEFS - Herbario da Universidade Estadual de Feira de Santana
RB01369497,Minas Gerais,NA,Diamantina,-43.665,-18.188333,E.M.C. Leme,RB - Rio de Janeiro Botanical Garden Herbarium Collection
RB01365068,Minas Gerais,NA,Serro,-43.445,-18.4725,"Barbosa-Silva, R.G.; Silva, J.L.",RB - Rio de Janeiro Botanical Garden Herbarium Collection
2141955,Minas Gerais,Jaboticatubas,NA,-43.95,-19.67,"L. Smith, W. A. Egler, A. Magnanini, W. A. Egler, L. S. Silva & et al.",NMNH Extant Biology
2141956,Minas Gerais,Jaboticatubas,NA,-43.95,-19.67,"L. Smith, W. A. Egler, S. L. Oliveira e Silva, L. Dau & G. Machine",NMNH Extant Biology
3439636,Minas Gerais,Joaquim Felício,NA,-44.2919,-17.6989,"R. C. Forzza, J. R. Pirani, A. Marcato, M. Meguro & A. Rapini",NMNH Extant Biology
2141953,Minas Gerais,Jaboticatubas,NA,-43.58,-19.17,"L. Smith, F. Segadas-Vianna, W. A. Egler, L. Dau & G. Machline",NMNH Extant Biology
RB01218940,Minas Gerais,NA,Diamantina,-43.806389,-17.891667,"G. Martinelli; T.Lima, D.Maurenza",RB - Rio de Janeiro Botanical Garden Herbarium Collection
RB00641788,Minas Gerais,NA,Congonhas do Norte,-43.233333,-18.866667,R.C. Forzza; J.R. Pirani; A.C.M. Marcato; M.C. Assis & A. Rapini,RB - Rio de Janeiro Botanical Garden Herbarium Collection
RB00572475,Minas Gerais,NA,Mato Verde,-42.778889,-15.386667,E. Leme; C.C. Paula,RB - Rio de Janeiro Botanical Garden Herbarium Collection
RB00568933,Minas Gerais,NA,Datas,-43.650278,-18.453056,"M.M. Saavedra; R.C. Forzza, L. Menini Neto, J.C. Silva",RB - Rio de Janeiro Botanical Garden Herbarium Collection
RB00515496,Minas Gerais,NA,Santana de Pirapama,-43.755556,-19.006111,"D.C. Zappi; E. Miranda, V. C. Souza, J. P. Souza, J. G. Rando, M. Pinho-Ferreira, G. O. Romão, D. J. N. Hind, L. V. S. Jennings",RB - Rio de Janeiro Botanical Garden Herbarium Collection
RB01045080,Minas Gerais,NA,Diamantina,-43.552778000000004,-18.355,"G. Martinelli; E. Martins, N. Pougy, D. Maurenza & M. Verdi",RB - Rio de Janeiro Botanical Garden Herbarium Collection
RB01045027,Minas Gerais,NA,Diamantina,-43.628056,-18.191944,"G. Martinelli; E. Martins, N. Pougy, D. Maurenza & M.Verdi",RB - Rio de Janeiro Botanical Garden Herbarium Collection
NA,NA,NA,NA,-52.8731,-10.8339,A. Saint-Hilaire,Negatives/Types
V0045139F,NA,NA,NA,-52.8731,-10.8339,A. Saint-Hilaire,Flowers TCN
NA,NA,NA,NA,-52.8731,-10.8339,A.  Glaziou,Berlin Negatives
16144,Minas Gerais,NA,NA,-43.6,-19.283333,"Faria, G.M.",HRCB - Herbário Rioclarense
144550,Minas Gerais,NA,Morro do Pilar,-43.516667,-19.25,"Rodrigues, LC",BHCB - Herbário da Universidade Federal de Minas Gerais
K000973337,NA,NA,Conceição do Mato Dentro,-43.43,-19.07,"Pirani, J.R.; Assis, M.C.; Marcato, A.C.; Forzza, R.C.; Rapini, A.",NA
K000973338,NA,NA,Conceição do Mato Dentro,-43.43,-19.07,"Pirani, J.R.; Assis, M.C.; Marcato, A.C.; Forzza, R.C.; Rapini, A.",NA
