"","wc2.1_30s_bio_15","wc2.1_30s_bio_4","wc2.1_30s_bio_9"
"MAXENT.Phillips.RUN1.PA1",0.762,0.019,0.898
"MAXENT.Phillips.RUN2.PA1",0.57,0.052,0.857
"MAXENT.Phillips.RUN3.PA1",0.775,0.023,0.904
"MAXENT.Phillips.RUN4.PA1",0.619,0.058,0.867
"MAXENT.Phillips.RUN5.PA1",0.59,0.031,0.851
"MAXENT.Phillips.RUN6.PA1",0.589,0.045,0.873
"MAXENT.Phillips.RUN7.PA1",0.579,0.162,0.877
"MAXENT.Phillips.RUN8.PA1",0.759,0.103,0.837
"MAXENT.Phillips.RUN9.PA1",0.599,0.121,0.885
"MAXENT.Phillips.RUN10.PA1",0.59,0.204,0.868
"media_impP",0.6432,0.0818,0.8717
