nomecientifico,ID,pais,estado,municipio,localidade,latitude,longitude
Lonchophylla mordax,1757,Brasil,Mato Grosso,Colider,Rio Teles Pires,-10.8178,-55.4508
Lonchophylla mordax,10391,Brasil,Pernambuco,Buique,Parna da Serra do Catimbau - Furna do Gato,-8.6233,-37.1559
Lonchophylla mordax,10190,Brasil,Bahia,Irece,NA,-11.3032,-41.857
Lonchophylla mordax,128,Brasil,Pernambuco,Buique,Furna do Gato - Serra do Catimbau,-8.6233333333333,-37.155833333333
Lonchophylla mordax,1807,Brasil,Espirito Santo,Conceicao da Barra,Gruta de Itaunas,-18.593333,-39.732222
Lonchophylla mordax,1750,Brasil,Espirito Santo,Santa Teresa,Estação Biologica de Santa Lucia,-19.965,-40.54
Lonchophylla mordax,2356,Brasil,Espirito Santo,Santa Teresa,Boqueirao,-19.935556,-40.600278
Lonchophylla mordax,3179,Brasil,Espirito Santo,Linhares,Regencia,-19.638139,-39.882333
Lonchophylla mordax,2963,Brasil,Espirito Santo,Muqui,Serra das Torres,-20.9517002105713,-41.3457984924316
Lonchophylla mordax,33216,Brazil,Bahia,NA,"Cidade da Barra, Rio San Francisco",-10.716667,-42.183333
